[2025-02-18 16:10:50 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:11:22 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:11:57 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:12:31 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:13:11 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:15:57 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:17:47 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:20:22 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:38:55 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-18 16:40:40 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-19 09:14:13 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-19 09:14:43 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-19 09:19:14 : INFO] - Cache for URL: https://www.medianet.srl/microbusiness/ has been purged, triggered by action: save_post 
[2025-02-19 09:40:21 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1810 has been purged, triggered by action: save_post 
[2025-02-19 09:55:53 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1810 has been purged, triggered by action: save_post 
[2025-02-19 09:57:27 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 09:57:45 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:01:58 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:02:56 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:03:21 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:06:08 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:07:41 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:08:08 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:08:31 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:09:07 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-19 10:19:47 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-26 10:53:05 : INFO] - Cache for URL: https://www.medianet.srl/?p=1824 has been purged, triggered by action: save_post 
[2025-02-26 10:53:05 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1824 has been purged, triggered by action: save_post 
[2025-02-26 10:53:05 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-02-26 10:56:50 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-26 11:00:04 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-02-26 11:01:12 : INFO] - Cache for URL: https://www.medianet.srl/voucher/ has been purged, triggered by action: save_post 
[2025-03-13 10:15:15 : INFO] - Cache for URL: https://www.medianet.srl/?p=1827 has been purged, triggered by action: save_post 
[2025-03-13 10:15:15 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1827 has been purged, triggered by action: save_post 
[2025-03-13 10:15:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-04-01 07:10:18 : INFO] - Cache for URL: https://www.medianet.srl/?p=1828 has been purged, triggered by action: save_post 
[2025-04-01 07:10:18 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1828 has been purged, triggered by action: save_post 
[2025-04-01 07:10:18 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-04-01 07:12:24 : INFO] - Cache for URL: https://www.medianet.srl/info-utili-al-consumatore/ has been purged, triggered by action: save_post 
[2025-04-01 07:33:52 : INFO] - Cache for URL: https://www.medianet.srl/info-utili-al-consumatore/ has been purged, triggered by action: save_post 
[2025-04-10 08:16:41 : INFO] - Cache for URL: https://www.medianet.srl/?p=1834 has been purged, triggered by action: save_post 
[2025-04-10 08:16:41 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1834 has been purged, triggered by action: save_post 
[2025-04-10 08:16:41 : INFO] - Cache for all archives page associated with post_type: post and Title: "Bozza automatica" have been purged, triggered by action: save_post 
[2025-04-10 08:20:04 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-04-10 08:22:36 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-04-10 08:25:26 : INFO] - Cache for URL: https://www.medianet.srl/casa/ has been purged, triggered by action: save_post 
[2025-04-18 08:49:55 : INFO] - Cache for URL: https://www.medianet.srl/guide-e-assistenza/ has been purged, triggered by action: save_post 
[2025-04-18 08:54:49 : INFO] - Cache for URL: https://www.medianet.srl/?page_id=1845 has been purged, triggered by action: save_post 
[2025-04-18 08:55:31 : INFO] - Cache for URL: https://www.medianet.srl/modalita-di-pagamento/ has been purged, triggered by action: save_post 
[2025-04-18 08:55:41 : INFO] - Cache for URL: https://www.medianet.srl/pagamento/ has been purged, triggered by action: save_post 
[2025-04-18 08:57:43 : INFO] - Cache for URL: https://www.medianet.srl/pagamento/ has been purged, triggered by action: save_post 
[2025-04-18 09:10:59 : INFO] - Cache for URL: https://www.medianet.srl/guide-e-assistenza/ has been purged, triggered by action: save_post 
[2025-05-07 07:14:05 : INFO] - Cache for URL: https://www.medianet.srl/?p=1851 has been purged, triggered by action: save_post 
[2025-05-07 07:14:05 : INFO] - Cache for previous post (with URL: https://www.medianet.srl/scegli-lineasicura-medianet-e-naviga-sempre/) adjacent to post with id: 1851 has been purged, triggered by action: save_post 
